06489J91J00X  C1995 05 22.88747 14 23 27.21 -01 59 15.2          14.7 Rz25258117
06489J91J00X  C1995 05 22.89393 14 23 28.33 -01 58 56.1          14.4 Rz25258117
06489J91J00X  C1995 05 22.89788 14 23 28.74 -01 58 47.1          14.5 Rz25258117
06489J91J00X  C1995 05 22.90016 14 23 29.18 -01 58 40.3          14.5 Rz25258117
06489J91J00X  C1995 05 22.90312 14 23 29.74 -01 58 30.5          14.6 Rz25258117
06489J91J00X  C1995 05 22.90465 14 23 29.90 -01 58 25.7          16.2 R 25364113
06489J91J00X  C1995 05 22.90540 14 23 30.06 -01 58 24.3          14.8 Rz25258117
06489J91J00X  C1995 05 22.90724 14 23 30.32 -01 58 17.3          14.8 Rz25258117
06489J91J00X  C1995 05 22.90910 14 23 30.51 -01 58 13.5          14.7 Rz25258117
06489J91J00X  C1995 05 22.91101 14 23 30.69 -01 58 06.5          14.4 Rz25258117
06489J91J00X  C1995 05 22.92847 14 23 33.60 -01 57 16.2          15.9 R 25364113
06489J91J00X  C1995 05 22.92965 14 23 33.28 -01 57 12.3          15.9 R 25259118
06489        1C1995 05 23.24291214 24 30.986-01 41 31.97                29462689
06489J91J00X  C1995 05 23.48260 14 25 11.80 -01 29 06.2                c25270608
06489J91J00X  C1995 05 23.51560 14 25 17.30 -01 27 24.3                c25270608
06489J91J00X  C1995 05 23.57934 14 25 33.62 -01 24 27.8          15.1 Vz25262360
06489J91J00X  C1995 05 23.58351 14 25 34.28 -01 24 15.0                z25262360
06489J91J00X  C1995 05 23.58715 14 25 34.86 -01 24 03.6                z25262360
06489J91J00X  C1995 05 23.86830 14 26 31.51 -01 09 38.7          15.1 Rz25258117
06489J91J00X  C1995 05 23.87433 14 26 32.42 -01 09 21.4          15.3 Rz25258117
06489J91J00X 2A1995 05 27.26493 14 40 38.38 +02 25 31.4                 25274675
06489J91J00X  C1995 05 27.55156 14 42 09.89 +02 47 29.0          14.8 Vm25262367
06489J91J00X  C1995 05 27.55427 14 42 10.66 +02 47 41.7                m25262367
06489J91J00X  C1995 05 27.55660 14 42 11.31 +02 47 52.7                m25262367
06489J91J00X  C1995 05 27.55877 14 42 11.94 +02 48 02.8                m25262367
06489J91J00X  C1995 05 28.15587 14 45 32.66 +03 36 08.9                z25290801
06489J91J00X  C1995 05 28.15847 14 45 33.47 +03 36 21.5                z25290801
06489J91J00X 2A1995 05 28.32778 14 46 31.86 +03 50 59.7                 25274675
06489J91J00X 2A1995 05 28.33194 14 46 33.21 +03 51 17.1                 25274675
06489J91J00X 2A1995 05 28.38490 14 46 50.62 +03 55 50.2                 25274675
06489J91J00X 2A1995 05 28.38906 14 46 51.74 +03 56 09.8                 25274675
06489J91J00X  C1995 05 28.84073 14 49 48.96 +04 35 45.7                 25259118
06489J91J00X  C1995 05 28.85214 14 49 52.99 +04 36 49.0          14.4 R 25259118
06489J91J00X  C1995 05 28.85303 14 49 53.62 +04 36 52.4          14.5 Rz25371540
